pickup_node,dropoff_node,manhattan_distance,taxi_duration,bus_duration,buses,unique_buses,bus_ride_distance,walking_distance
42429362,3977886196,8269,1440,4958,2,2,3664,4191
42443804,42439842,2040,484,1539,1,1,468,1623
42442291,42435650,4632,1300,2560,1,1,1379,2410
42431154,42430004,3117,780,2467,1,1,1379,2298
5481859786,5357196526,1759,511,1573,1,1,1661,1090
4143824668,3977886199,8735,1680,5200,2,2,3664,4481
42429412,42430796,1245,711,961,0,0,0,1154
42435578,3786901747,2900,574,2050,1,1,857,2049
3973686163,42443975,3625,780,2734,2,2,4342,1196
1692433927,4115968597,2814,540,1777,1,1,1261,1527
4890623901,42439275,2677,978,1721,1,1,1379,1403
42449308,42445417,1067,421,749,0,0,0,898
2034011067,3955360015,8321,992,4909,2,2,3664,4132
42433574,4634753632,2523,1020,1840,1,1,2314,1097
5152337872,5481937327,1265,300,1111,1,1,587,1052
42436510,3060682047,1167,360,1031,1,1,1331,598
3977886867,5243723093,3511,767,2738,1,1,2993,1849
42436122,42429664,1615,360,1292,1,1,768,1182
5235625493,5266429279,1688,449,979,2,2,697,840
4202984491,4486628750,5350,1140,3273,1,1,2360,2795
42442947,42437346,4236,720,3002,1,1,735,3250
5022414759,42432847,2246,720,1580,1,1,1381,1233
3842775636,5481859789,1754,480,1440,1,1,1168,1168
42430257,42430352,3477,180,2112,0,0,0,2534
42431549,2435108464,922,120,606,0,0,0,727
596775882,4707468269,1631,925,1310,1,1,468,1347
42430938,42435657,4452,900,2917,2,2,3167,1980
3314293720,5243701466,1057,360,915,0,0,0,1098
3997461343,42435422,1523,474,1060,1,1,296,1130
42442948,42448317,1094,353,1124,1,1,1835,468
4841945996,42439836,1201,120,726,1,1,718,526
4298764919,5384908886,5115,608,3191,1,1,1563,3079
3786901747,3875091626,2172,442,1899,1,1,583,1999
5235625493,247798318,1107,480,740,1,1,296,746
4500033338,42435650,2607,1615,2202,2,2,1704,1824
3314293708,4320028814,2618,903,1759,0,0,0,2111
42428283,42428258,494,75,341,0,0,0,410
42430118,4872623868,3265,480,2238,1,1,1880,1783
42432201,42446533,1465,438,1063,1,1,532,1020
4115878739,4597668029,446,240,273,0,0,0,327
42436139,4320194260,688,233,569,1,1,502,441
42439834,4754110659,2850,480,2092,1,1,1810,1641
42440951,42430320,1885,660,1255,1,1,468,1282
1692433932,4601466495,1725,445,1184,1,1,588,1138
42434140,3829872815,4128,600,2515,2,2,2560,1789
3971302311,5475605301,259,1215,181,0,0,0,217
1773063787,42454994,2717,326,1832,1,1,1563,1448
42427371,4782506031,3129,180,1968,0,0,0,2362
42446552,42452598,2510,660,1728,1,1,532,1818
42433611,2918696405,1387,240,1173,1,1,296,1265
42434871,1762438249,6438,1663,3686,1,1,2422,3261
4782363331,5846916775,985,686,1064,0,0,0,1277
42439530,4960527243,6581,1044,3679,3,2,3001,2974
4207912627,42434954,714,153,614,1,1,767,369
3875091626,42442943,3627,288,2261,1,1,1021,2223
5235625475,42456492,5627,804,3460,3,3,3681,2384
42446933,3584752524,2788,488,1580,1,1,1261,1290
42430886,5244228887,1342,255,830,1,1,532,740
4676426947,5829844678,4731,1099,2652,1,1,2947,1768
42431453,2840192831,2950,695,1694,1,1,1441,1341
4598752852,42435598,3628,780,2217,1,1,1098,2134
42454758,4205565530,1717,234,1059,1,1,1513,545
42430344,42452026,5620,1359,3226,1,1,1810,3003
42439280,42429375,882,180,489,1,1,501,347
42427374,4320105472,1495,240,927,1,1,718,767
42435422,42445404,1030,300,659,1,1,296,648
42439275,42430247,601,272,637,0,0,0,765
3569749103,42430317,1735,1281,1343,1,1,468,1387
4207913307,3955360025,1506,1620,1370,1,1,468,1419
42439440,42430338,1290,180,878,1,1,296,911
5542715073,2435108462,1262,504,1124,1,1,1266,741
3507753872,42427369,2251,360,1407,1,1,546,1426
42439345,4707407258,5160,1973,2881,2,2,2034,2480
1745991210,4631139784,1973,811,1226,0,0,0,1471
42445961,42436055,8546,1440,4729,3,3,4042,3735
4016646249,5481907462,5381,1380,3120,2,2,3372,2126
5266429281,5684427050,1222,360,770,0,0,0,924
42448693,4302910549,1927,360,1030,1,1,1261,631
42430317,596775867,1487,318,1153,1,1,468,1159
42435654,3971302315,1960,738,1204,2,2,1291,825
42439836,42439836,3,24,0,0,0,0,0
4755898678,4601466495,2243,900,1331,1,1,501,1357
42438674,4205565530,1194,480,783,1,1,1150,387
4207957613,4782442668,1164,176,1059,0,0,0,1271
5481855556,42435632,1027,744,932,0,0,0,1118
42432444,42437654,1177,420,1265,1,1,468,1294
42443614,42438379,3521,960,2800,2,2,1468,2656
42435470,2348991689,1438,0,1021,0,0,0,1225
42428223,1752946328,1690,1073,1123,1,1,849,940
3252586225,5244228880,2948,597,1795,1,1,718,1809
42435599,42446266,1765,347,1603,1,1,583,1644
3875091626,42452975,4189,3345,2995,2,2,2134,2569
42435654,42456568,1909,457,1172,1,1,1376,745
42436355,42445310,3002,600,1897,1,1,1880,1373
4578017553,42439826,2803,591,1701,1,1,857,1630
3009534478,4578017555,1521,431,1119,1,1,849,936
3977886868,3944708045,1012,323,667,0,0,0,800
4376122118,5244251221,2596,540,2067,1,1,696,2147
42428179,4782543129,2824,502,2083,1,1,2002,1538
42442898,4320028832,2878,434,1804,2,2,1545,1423
595106176,4493840518,2081,600,1349,1,1,546,1356
3859048179,5165644105,2439,1116,1524,1,1,1150,1276
42435644,4207957614,1254,502,790,1,1,626,647
4216045838,42431556,4297,1920,3596,1,1,2993,2879
4202984494,3944708046,5017,240,2966,2,2,3505,1877
4784141042,4375703340,5014,1354,2805,2,2,3372,1747
4903169922,5130936740,1300,300,946,0,0,0,1136
42440350,4016646232,8222,2760,5070,2,2,3767,4276
42431544,1762449346,1062,366,790,1,1,665,629
5607992553,1511873348,1462,180,1248,0,0,0,1498
42429374,5858721092,2991,797,1913,2,2,1351,1647
4707484298,4711654710,787,219,772,0,0,0,926
42454433,3976829276,2558,578,1817,1,1,1797,1318
1692433939,3875120003,3968,742,2521,2,2,2069,2032
42430279,42430378,3146,423,1929,0,0,0,2314
42459085,1919595918,4901,1140,2842,1,1,1261,2806
42437654,4298757044,2738,578,2015,2,2,1280,1803
3783071112,5837174092,2396,720,1884,2,2,2110,1248
596775935,5148088862,3866,1200,2320,2,1,1281,2169
5340982006,5345057743,7943,699,4679,2,2,3664,3856
5696984871,42427951,7128,678,4355,1,1,2849,3859
42439440,42430390,2983,667,1708,1,1,665,1731
42429661,5022965056,3320,1162,2410,2,2,3314,1301
42445310,3875091622,3907,540,2431,3,2,2869,1539
5730369215,3833309811,1683,420,1056,1,1,2007,303
2792781447,1251382547,401,128,334,0,0,0,401
5829880518,3314293707,1761,600,1168,0,0,0,1402
5651033419,3786901754,1635,480,948,1,1,468,914
42431165,42454042,4466,915,3329,2,2,5439,1384
4776041123,42445484,1733,660,1225,0,0,0,1470
4754110663,4207806921,1040,216,933,0,0,0,1119
4796291639,42445926,1402,1130,875,1,1,723,703
42442107,42435610,4795,876,3103,2,2,2746,2406
42432161,4892579965,1159,214,763,0,0,0,915
42431168,4302910549,1287,287,816,0,0,0,979
3670742484,5307048044,643,180,420,0,0,0,504
5812723035,4616536350,1206,300,939,0,0,0,1127
3977886190,4147546533,9241,600,5588,1,1,2360,5573
5216346765,5829927770,2677,540,1837,1,1,735,1851
5829779494,5243723093,1633,240,1047,1,1,566,985
